"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.926860920E-1,-4.213577509E-1,4.913372993E-1,-3.257465363E-2,6.480862628E-1
2.976910200E-1,-3.437398076E-1,4.141047001E-1,-3.225612640E-2,5.391476752E-1
3.026958660E-1,-3.431895375E-1,4.128777981E-1,-3.687667847E-2,5.381514882E-1
3.077007900E-1,-2.658281922E-1,2.592513561E-1,-3.670883179E-2,3.731265627E-1
3.127057130E-1,-2.653967142E-1,2.583444118E-1,-3.646564484E-2,3.721652782E-1
3.177106210E-1,-2.274288237E-1,1.433949471E-1,-7.650184631E-2,2.795326693E-1
3.226847750E-1,-2.256519496E-1,1.421802044E-1,-7.619476318E-2,2.773799828E-1
3.276896980E-1,-3.710342944E-2,2.797245979E-2,-7.640361786E-2,8.942391070E-2
3.326946310E-1,3.654445708E-2,-1.225962639E-1,-7.702255249E-2,1.493245286E-1
3.376995540E-1,3.621208668E-2,-1.215205193E-1,1.868534088E-2,1.281705652E-1
3.427042460E-1,2.614976168E-1,-1.954975128E-1,1.794433594E-2,3.269897250E-1
3.476786880E-1,2.593326569E-1,-1.939373016E-1,1.755142212E-2,3.243041108E-1
3.526836110E-1,3.688942194E-1,-1.536893845E-1,1.701068878E-2,3.999909193E-1
3.576885480E-1,3.664178848E-1,-1.527900696E-1,-4.514312744E-2,3.995557203E-1
3.626933940E-1,3.635688722E-1,-2.661645412E-1,-4.555320740E-2,4.528807598E-1
3.676983170E-1,3.605094850E-1,-1.500198841E-1,-4.579830170E-2,3.931545992E-1
3.727032210E-1,3.567373455E-1,-1.486392021E-1,8.943557739E-3,3.865684070E-1
3.776773750E-1,3.164153695E-1,-2.619347572E-1,8.506774902E-3,4.108538284E-1
3.826822980E-1,3.140596151E-1,-2.601957321E-1,8.074760437E-3,4.079221281E-1
3.876872210E-1,1.974881440E-1,-2.197144032E-1,7.698059082E-3,2.955253730E-1
3.926921440E-1,1.959621161E-1,-2.176055908E-1,6.414794922E-2,2.997804255E-1
3.976970330E-1,2.322206497E-1,-2.155508995E-1,6.362247467E-2,3.231662726E-1
4.027019570E-1,1.163037419E-1,-2.519357204E-1,6.292343140E-2,2.845303601E-1
4.077068850E-1,1.156006306E-1,-2.496409416E-1,8.030986786E-2,2.865899168E-1
4.126811150E-1,2.661228478E-1,-2.849051952E-1,7.962608337E-2,3.979103587E-1
4.176860390E-1,2.640275359E-1,-2.822766304E-1,7.895183563E-2,3.944921142E-1
4.226908750E-1,1.869300753E-1,-2.781851292E-1,7.785892487E-2,3.440811406E-1
4.276957980E-1,1.858716607E-1,-2.752768993E-1,1.100893021E-1,3.499218484E-1
4.327007120E-1,3.361672759E-1,-3.493311405E-1,1.093587875E-1,4.969909733E-1
