"event","experiment time","system time","system time text"
"START",0.000000000E0,1707062389.753,"2024-02-04 17:59:49.753 UTC+02:00"
"PAUSE",7.725141108E1,1707062467.004,"2024-02-04 18:01:07.004 UTC+02:00"
