"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.174096967E1,6.504547948E1,2.543858327E1,1.551783545E1,3.300000000E1,1.240000010E0,1.676000061E2,4.051999499E-2,2.000000000E0,3.000000000E0,2.800000000E1
3.274820282E1,6.504546896E1,2.543857941E1,1.551783935E1,3.300000000E1,1.079999924E0,1.711000061E2,4.159703581E-2,2.000000000E0,3.000000000E0,2.800000000E1
3.374465528E1,6.504545936E1,2.543857631E1,1.551784294E1,3.300000000E1,1.069999933E0,1.693999939E2,4.263636283E-2,2.000000000E0,3.000000000E0,2.600000000E1
3.474009705E1,6.504545001E1,2.543857598E1,1.551784671E1,3.300000000E1,1.110000014E0,1.666999969E2,4.349315438E-2,1.500000000E0,2.000000000E0,2.800000000E1
3.575070305E1,6.504544234E1,2.543857422E1,1.551784965E1,3.300000000E1,9.199999571E-1,1.753999939E2,4.446095487E-2,2.000000000E0,3.000000000E0,2.700000000E1
3.674334613E1,6.504543555E1,2.543856131E1,1.551785113E1,3.300000000E1,8.799999952E-1,1.936999969E2,4.533337777E-2,2.000000000E0,3.000000000E0,2.800000000E1
3.773886570E1,6.504542868E1,2.543855234E1,1.551785304E1,3.300000000E1,7.500000000E-1,2.051000061E2,4.618449190E-2,2.000000000E0,3.000000000E0,2.800000000E1
3.874309713E1,6.504542281E1,2.543854069E1,1.551785428E1,3.300000000E1,9.599999785E-1,2.118000031E2,4.722231195E-2,2.000000000E0,3.000000000E0,2.800000000E1
3.974129974E1,6.504541619E1,2.543852510E1,1.551785543E1,3.300000000E1,9.599999785E-1,2.286000061E2,4.814864527E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.074955593E1,6.504540965E1,2.543851286E1,1.551785688E1,3.300000000E1,1.039999962E0,2.376999969E2,4.893560962E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.174371762E1,6.504540467E1,2.543850096E1,1.451785773E1,3.200000000E1,1.659999967E0,2.536999969E2,5.022357660E-2,2.000000000E0,3.000000000E0,2.900000000E1
4.274446239E1,6.504540018E1,2.543847565E1,1.251785705E1,3.000000000E1,1.500000000E0,2.602000122E2,5.122808295E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.374236297E1,6.504539788E1,2.543845494E1,1.151785595E1,2.900000000E1,1.419999957E0,2.602999878E2,5.230173924E-2,2.000000000E0,3.000000000E0,2.900000000E1
4.474042978E1,6.504539805E1,2.543843206E1,1.051785362E1,2.800000000E1,1.529999971E0,2.646000061E2,5.313568214E-2,2.000000000E0,3.000000000E0,2.800000000E1
4.574321039E1,6.504539700E1,2.543841446E1,1.051785231E1,2.800000000E1,1.059999943E0,2.513000031E2,5.413700881E-2,2.000000000E0,3.000000000E0,2.900000000E1
