"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.995940060E-1,8.822932243E-1,-2.411203384E-1,1.094198227E-1,9.211693921E-1
3.045989390E-1,8.760691881E-1,-3.547815084E-1,1.089859009E-1,9.514436755E-1
3.096183240E-1,8.673865795E-1,-3.524703979E-1,3.737163544E-2,9.370120057E-1
3.146087030E-1,8.197346330E-1,-3.872188330E-1,3.653907776E-2,9.073248576E-1
3.195829340E-1,8.103085756E-1,-3.840293884E-1,3.572177887E-2,8.974155138E-1
3.245878570E-1,8.754317760E-1,-3.429144621E-1,3.487873077E-2,9.408441150E-1
3.296075340E-1,8.638638258E-1,-3.394507170E-1,3.803157806E-2,9.289423554E-1
3.345976880E-1,7.760571241E-1,-1.842468977E-1,3.735828400E-2,7.985031125E-1
3.396026110E-1,7.256880403E-1,-2.955800295E-1,3.642845154E-2,7.844219003E-1
3.446075250E-1,7.158434391E-1,-2.928072214E-1,9.363269806E-2,7.790603188E-1
3.496269090E-1,6.991176009E-1,-2.499929667E-1,9.262657166E-2,7.482256244E-1
3.545868320E-1,6.938977838E-1,-2.480717897E-1,9.219551086E-2,7.426531892E-1
3.595917690E-1,6.748362780E-1,-2.056772709E-1,9.110641479E-2,7.113420560E-1
3.645964620E-1,6.624357700E-1,-2.026406527E-1,7.042884827E-2,6.963078387E-1
3.696160630E-1,5.431609154E-1,-1.246434450E-1,7.018280029E-2,5.616808648E-1
3.746062940E-1,4.538140297E-1,-4.600310326E-2,6.955146790E-2,4.614118179E-1
3.796111400E-1,4.415336847E-1,-4.345381260E-2,6.699752808E-2,4.486968881E-1
3.845856160E-1,3.439932466E-1,-3.880620003E-2,6.595611572E-2,3.524024461E-1
3.896050770E-1,3.413937092E-1,-3.842747211E-2,6.586265564E-2,3.498059815E-1
3.945952360E-1,2.908359766E-1,-3.534090519E-2,6.521320343E-2,3.001454760E-1
3.996001590E-1,2.785088718E-1,-3.231275082E-2,6.249237061E-2,2.872570311E-1
4.046050870E-1,3.428976834E-1,4.707658291E-2,6.198120117E-2,3.516201007E-1
4.096244720E-1,3.679611981E-1,4.947304726E-2,6.149387360E-2,3.763303365E-1
4.145841640E-1,3.434156477E-1,5.507576466E-2,6.044483185E-2,3.530173150E-1
4.195890770E-1,4.175100923E-1,-5.946934223E-2,9.335136414E-2,4.319325838E-1
4.245939230E-1,4.037124217E-1,-5.607604980E-2,9.275436401E-2,4.180091085E-1
4.296136160E-1,3.785317242E-1,-8.755540848E-2,9.167385101E-2,3.991945776E-1
4.346037690E-1,3.759065270E-1,-8.685588837E-2,9.156036377E-2,3.965261185E-1
4.396086930E-1,2.479632497E-1,-7.825374603E-3,9.109306335E-2,2.642819628E-1
4.445829330E-1,2.236289829E-1,-2.134799957E-3,9.024810791E-2,2.411621868E-1
4.496025490E-1,1.455749869E-1,7.443630695E-2,9.031391144E-2,1.867871602E-1
4.545927750E-1,1.713685840E-1,1.909269094E-1,8.414459229E-2,2.700010903E-1
4.595976980E-1,1.592006683E-1,1.923116446E-1,8.400058746E-2,2.634097950E-1
4.646026210E-1,1.470334083E-1,1.170091629E-1,8.380508423E-2,2.057504787E-1
